"ID","ORD","AAO_ID","DEPT_ID","PORTFOLIO_ID"
"706","5","98","55",
"707","6","98","44",
"708","7","98","10",
"709","8","98","45",
"710","9","98","57",
"711","10","98","18","4"
"712","11","98","53",
"713","12","98","58",
"714","13","98","56",
"715","14","98","14",
"716","15","98","49",
"717","16","98","16",
"718","17","98","17","1"
