"TOTAL_DESC_ID","PROGRAM_ID","AMOUNT"
"2","257","119028.0"
"3","257","117518.0"
"4","257","122192.0"
"5","257","125806.0"
"1","258","6509.0"
"2","258","7918.0"
"3","258","5643.0"
"4","258","5736.0"
"5","258","5546.0"
"1","259","381798.0"
"2","259","366693.0"
"3","259","399458.0"
"4","259","397066.0"
"5","259","399355.0"
"1","260","61392.0"
"2","260","66525.0"
"3","260","63156.0"
"4","260","62891.0"
"5","260","62346.0"
"1","261","4706.0"
"2","261","5994.0"
"3","261","6292.0"
"4","261","5974.0"
"5","261","6278.0"
"1","262","1685957.0"
"2","262","1624534.0"
"3","262","1529097.0"
"4","262","1501483.0"
"5","262","1510083.0"
"1","263","20695.0"
"2","263","21148.0"
"3","263","21688.0"
"4","263","22166.0"
"5","263","22725.0"
"1","264","162189.0"
"2","264","159799.0"
"3","264","160853.0"
"4","264","160489.0"
"5","264","159302.0"
"1","265","42369.0"
"2","265","39794.0"
"3","265","38294.0"
"4","265","39627.0"
"5","265","41029.0"
"1","266","26863.0"
"2","266","26919.0"
"3","266","26941.0"
"4","266","27184.0"
"5","266","27430.0"
"1","267","320.0"
"2","267","313.0"
"3","267","319.0"
"4","267","324.0"
"5","267","330.0"
"1","268","26863.0"
"2","268","26919.0"
"3","268","26941.0"
"4","268","27184.0"
"5","268","27430.0"
"1","269","320.0"
"2","269","313.0"
"3","269","319.0"
"4","269","324.0"
"5","269","330.0"
"1","271","24226.0"
"2","271","24313.0"
"3","271","24326.0"
"4","271","24490.0"
"5","271","24631.0"
"1","272","53437.0"
"2","272","57410.0"
"3","272","57552.0"
"4","272","58368.0"
"5","272","58545.0"
"1","273","25453.0"
"2","273","26348.0"
"3","273","26350.0"
"4","273","25462.0"
"5","273","25557.0"
"1","274","43069.0"
"2","274","42307.0"
"3","274","42059.0"
"4","274","42177.0"
"5","274","42679.0"
"1","275","33887.0"
"2","275","32918.0"
"3","275","32725.0"
"4","275","32821.0"
"5","275","33230.0"
"1","276","45648.0"
"2","276","43912.0"
"3","276","43166.0"
"4","276","43309.0"
"5","276","43700.0"
"1","277","33351.0"
"2","277","4170.0"
"3","277","4230.0"
"4","277","4310.0"
"5","277","4370.0"
"1","278","263852.0"
"2","278","292858.0"
"3","278","205780.0"
"4","278","166170.0"
"5","278","152125.0"
"1","279","100307.0"
"2","279","99722.0"
"3","279","94549.0"
"4","279","96952.0"
"5","279","98926.0"
"1","280","73752.0"
"2","280","61132.0"
"3","280","57465.0"
"4","280","60309.0"
"5","280","61339.0"
"1","281","27862.0"
"2","281","28779.0"
"3","281","28692.0"
"4","281","28971.0"
"5","281","29677.0"
"1","282","76534.0"
"2","282","65652.0"
"3","282","69654.0"
"4","282","72373.0"
"5","282","72514.0"
"1","283","36221.0"
"2","283","38562.0"
"3","283","34743.0"
"4","283","33362.0"
"5","283","34886.0"
"1","284","6985.0"
"2","284","11493.0"
"3","284","14809.0"
"4","284","14608.0"
"5","284","14011.0"
"1","285","24978.0"
"2","285","35467.0"
"3","285","39284.0"
"4","285","43433.0"
"5","285","44140.0"
"1","286","16652.0"
"2","286","23644.0"
"3","286","26190.0"
"4","286","28955.0"
"5","286","29426.0"
"1","287","15036.0"
"2","287","15890.0"
"3","287","14874.0"
"4","287","14967.0"
"5","287","15417.0"
"1","288","917108.0"
"2","288","889847.0"
"3","288","923404.0"
