"ID","PORTFOLIO_ID","DEPT_ID","AGENCY_ID","BUDGET_YEAR","FILE"
"71",,"45","71","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/CA 2018-19 PBS - cleaned.xls"
"72",,"45","72","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/FSANZ 2018-19 PBS cleaned.xlsx"
"73",,"45","73","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/Health 2018-19 PBS - cleaned.xlsx"
"74",,"45","74","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/IHPA 2018-19 PBS - cleaned.xlsx"
"75",,"45","75","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/NBA 2018-19 PBS - cleaned.xlsx"
"76",,"45","76","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/NHFB 2018-19 PBS - cleaned.xlsx"
"77",,"45","77","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/NHMRC 2018-19 PBS - cleaned.xlsx"
"78",,"45","78","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/NMHC 2018-19 PBS - cleaned.xls"
"79",,"45","79","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/OTA  2018-19 PBS - cleaned.xls"
"80",,"45","80","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Health/PSR 2018-19 PBS - cleaned.xls"
"81",,"57","81","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Home Affairs/2018-19 PBS - ACIC - cleaned.xlsx"
"82",,"57","82","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Home Affairs/2018-19 PBS - AFP - cleaned.xlsx"
"83",,"57","83","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Home Affairs/2018-19 PBS - AIC - cleaned.xlsx"
"84",,"57","84","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Home Affairs/2018-19 PBS - AUSTRAC - cleaned.xlsx"
"85",,"57","85","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Home Affairs/2018-19 PBS - Home Affairs - cleaned.xlsx"
"86",,"18","86","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Human Services/2018-19 PBS - DHS - cleaned.xlsx"
"87",,"61","87","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/AMSA - cleaned.xlsx"
"88",,"61","88","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/ATSB - cleaned.xlsx"
"89",,"61","89","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/CASA - cleaned.xlsx"
"90",,"61","90","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/DIRDC - cleaned.xlsx"
"91",,"61","91","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/IA - cleaned.xlsx"
"92",,"61","92","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/IPFA - cleaned.xlsx"
"93",,"61","93","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/NCA - cleaned.xlsx"
"94",,"61","94","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Infrastructure/NTC - cleaned.xlsx"
"95","5","53","95","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Jobs and Innovation Portfolio (Department of Industry, Innovation and Science)/2018-19 PBS - AIMS - cleaned.xlsx"
"96","5","53","96","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Jobs and Innovation Portfolio (Department of Industry, Innovation and Science)/2018-19 PBS - ANSTO - cleaned.xlsx"
"97","5","53","97","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Jobs and Innovation Portfolio (Department of Industry, Innovation and Science)/2018-19 PBS - CSIRO - cleaned.xlsx"
"98","5","53","98","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Jobs and Innovation Portfolio (Department of Industry, Innovation and Science)/2018-19 PBS - DIIS - cleaned.xlsx"
"99","5","53","99","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Jobs and Innovation Portfolio (Department of Industry, Innovation and Science)/2018-19 PBS - GA - cleaned.xlsx"
"100","5","53","100","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Jobs and Innovation Portfolio (Department of Industry, Innovation and Science)/2018-19 PBS - IPA - cleaned.xlsx"
