"ID","NAME"
"487","Papua New Guinea (Staffing Assistance) Termination Act 1976"
"488","Parliamentary Allowances Act 1952"
"489","Parliamentary Contributory Superannuation Act 1948"
"490","Parliamentary Entitlements Act 1990"
"491","Parliamentary Precincts Act 1988"
"492","Parliamentary Retiring Allowances (Increases) Acts"
"493","Public Accounts Committee Act 1951"
"494","Public Works Committee Act 1969"
"495","Qantas Sale Act 1992, except to the extent administered by the Treasurer or the Minister for Transport and Regional Services"
"496","Qantas Sale Amendment Act 1993"
"497","Referendum (Machinery Provisions) Act 1984"
"498","Representation Act 1983"
"499","Salaries Adjustment Acts"
"500","Superannuation Acts"
"501","Superannuation Benefits (Supervisory Mechanisms) Act 1990"
"502","Superannuation (Distribution of Surplus) Act 1974"
"503","Superannuation (Pension Increases) Acts"
"504","Superannuation (Productivity Benefit) Act 1988"
"505","Supply Acts"
"506","Surplus Revenue Acts"
"507","Territory Authorities (Financial Provisions) Act 1978"
"508","Transferred Officers' Allowances Act 1948"
"509","Treaty of Peace (Germany) Act 1919"
"510","War Gratuity Act 1945"
"511","War Gratuity Appropriation Act 1948"
"512","Western Australia (South-West Region Water Supplies) Agreement Act 1965"
"513","Anti-Personnel Mines Convention Act 1998"
"514","Asian Development Fund Acts"
"515","Australia-Japan Foundation Act 1976"
"516","Australian Centre for International Agricultural Research Act 1982"
"517","Australian Development Assistance Agency (Repeal) Act 1977"
"518","Australian Trade Commission Act 1985"
"519","Australian Trade Commission (Transitional Provisions and Consequential Amendments) Act 1985"
"520","Charter of the United Nations Act 1945"
"521","Chemical Weapons (Prohibition) Act 1994"
"522","Comprehensive Nuclear Test-Ban Treaty Act 1998"
"523","Consular Fees Act 1955"
"524","Consular Privileges and Immunities Act 1972"
"525","Diplomatic and Consular Missions Act 1978"
"526","Diplomatic Privileges and Immunities Act 1967"
"527","Export Expansion Grants Act 1978"
"528","Export Finance and Insurance Corporation Act 1991"
"529","Export Finance and Insurance Corporation (Transitional Provisions and Consequential Amendments) Act 1991"
"530","Export Market Development Grants Act 1997"
"531","Export Market Development Grants (Repeal and Consequential Provisions) Act 1997"
"532","Indus Basin Development Fund Agreement Act 1960"
"533","Indus Basin Development Fund Supplemental Agreement Act 1965"
"534","Intelligence Services Act 2001, except to the extent administered by the Attorney-General or the Minister for Defence"
"535","International Development Association Acts"
"536","International Development Association (Further Payment) Acts"
"537","International Development Association (Special Contribution) Acts"
"538","International Fund for Agricultural Development Acts"
"539","International Organisations (Privileges and Immunities) Act 1963"
"540","Nauru Independence Act 1967"
"541","Nuclear Non-Proliferation (Safeguards) Act 1987"
"542","Nuclear Safeguards (Producers of Uranium Ore Concentrates) Charge Act 1993"
"543","Overseas Missions (Privileges and Immunities) Act 1995"
