"SRC_AGENCY_ID","DST_AGENCY_ID","START_DATE","END_DATE","TYPE","SCORE"
"23","190","2018-07-01","2019-06-30","acronym","7.070080280303955"
"23","190","2016-07-01","2017-06-30","acronym","7.070080280303955"
"193","155","2017-07-01","2018-06-30","3gram","25.749738693237305"
"138","1637","2016-07-01","2018-03-30","term","7.154499053955078"
"312","346","2015-02-16","2015-06-30","3gram","276.9999084472656"
"321","358","2015-04-24","2015-06-30","term","16.084877014160156"
"340","501","2015-07-01","2016-06-30","term","11.425860404968262"
"172","277","2016-09-12","2017-12-30","term","6.606065273284912"
"26","155","2018-07-01","2019-06-30","acronym","6.67476749420166"
"321","1050","2014-12-11","2015-04-23","term","14.592079162597656"
"119","1395","2017-02-03","2019-06-30","term","6.089044094085693"
"226","330","2015-04-24","2015-06-30","term","22.591829299926758"
"192","315","2017-07-01","2018-06-30","3gram","26.506587982177734"
"11","183","2018-07-01","2019-06-30","acronym","7.070080280303955"
"11","183","2016-07-01","2017-06-30","acronym","7.070080280303955"
"340","501","2015-07-01","2016-06-30","3gram","118.91795349121094"
"337","276","2015-07-01","2016-06-30","shingle","47.53276824951172"
"144","320","2016-07-01","2019-06-30","acronym","7.070080280303955"
"161","264","2016-07-01","2017-06-30","acronym","7.431093215942383"
"33","301","2016-07-01","2019-06-30","acronym","7.070080280303955"
"334","214","2015-07-01","2016-06-30","shingle","55.2857551574707"
"226","330","2014-12-11","2015-06-30","acronym","7.070080280303955"
"206","929","2014-12-11","2015-06-30","shingle","43.25251770019531"
"228","378","2014-12-11","2015-06-30","3gram","153.11822509765625"
"338","294","2015-07-01","2016-06-30","3gram","109.14019012451172"
"288","1983","2014-12-11","2015-06-30","term","34.35569763183594"
"206","929","2014-12-11","2015-06-30","acronym","7.070080280303955"
"158","252","2015-07-01","2017-02-02","term","9.088248252868652"
"166","691","2016-09-12","2018-06-30","term","6.4337263107299805"
"179","331","2016-07-01","2017-12-30","acronym","7.070080280303955"
"337","276","2015-07-01","2016-06-30","term","32.6978759765625"
"227","376","2014-12-11","2015-06-30","acronym","7.070080280303955"
"373","1446","2015-07-01","2016-06-30","term","19.26895523071289"
"374","1448","2015-07-01","2016-06-30","term","23.173492431640625"
"297","356","2014-12-11","2015-06-30","acronym","7.070080280303955"
"366","269","2015-07-01","2016-06-30","shingle","38.609962463378906"
"108","1329","2018-07-01","2019-06-30","term","16.75229263305664"
"350","929","2015-07-01","2016-06-30","3gram","175.77146911621094"
"321","358","2015-04-24","2015-06-30","3gram","129.14939880371094"
"115","218","2016-07-01","2019-06-30","acronym","7.070080280303955"
"288","1983","2014-12-11","2015-06-30","3gram","272.8867492675781"
"97","1187","2017-02-03","2017-05-16","term","5.986087799072266"
"308","1449","2014-12-11","2015-06-30","term","18.98118019104004"
"334","214","2015-07-01","2016-06-30","3gram","172.527587890625"
"77","357","2016-07-01","2019-06-30","acronym","7.070080280303955"
"31","295","2016-07-01","2019-06-30","acronym","7.070080280303955"
"321","1050","2014-12-11","2015-04-23","shingle","22.704326629638672"
"234","655","2014-12-11","2015-06-30","shingle","64.83716583251953"
"175","290","2016-07-01","2018-06-30","3gram","64.62891387939453"
"136","376","2016-07-01","2019-06-30","acronym","7.070080280303955"
"154","930","2016-09-12","2018-06-30","term","6.8841681480407715"
"3","330","2016-07-01","2019-06-30","acronym","7.070080280303955"
"163","341","2016-07-01","2017-02-02","acronym","8.369362831115723"
"374","1448","2015-07-01","2016-06-30","shingle","49.656803131103516"
"149","332","2016-07-01","2016-09-11","acronym","6.197139739990234"
"323","331","2014-12-11","2015-06-30","3gram","200.3235626220703"
"196","253","2017-07-01","2018-06-30","term","11.91663646697998"
"336","311","2015-07-01","2016-06-30","shingle","35.24529266357422"
"95","220","2016-07-01","2019-06-30","acronym","7.070080280303955"
"344","655","2015-07-01","2016-06-30","shingle","23.236791610717773"
"374","1448","2015-07-01","2016-06-30","3gram","180.83949279785156"
"80","358","2016-07-01","2019-06-30","acronym","7.070080280303955"
"371","1449","2015-07-01","2016-06-30","term","15.197625160217285"
"302","359","2014-12-11","2015-06-30","shingle","55.937843322753906"
"342","253","2015-07-01","2016-06-30","shingle","15.780040740966797"
"284","277","2014-12-11","2016-06-30","3gram","46.032962799072266"
"156","242","2016-07-01","2017-06-30","term","8.435007095336914"
"167","276","2016-07-01","2016-09-11","3gram","64.18682861328125"
"371","1449","2015-07-01","2016-06-30","shingle","24.533639907836914"
"78","300","2016-07-01","2019-06-30","acronym","7.070080280303955"
"364","1035","2015-07-01","2016-06-30","term","7.378378868103027"
"226","330","2015-04-24","2015-06-30","3gram","219.4569549560547"
"67","219","2016-07-01","2019-06-30","acronym","7.070080280303955"
"317","352","2014-12-11","2015-06-30","term","43.5810661315918"
"164","345","2016-07-01","2018-06-30","3gram","73.8085708618164"
"85","1075","2018-07-01","2019-06-30","shingle","20.046876907348633"
"108","1329","2018-07-01","2019-06-30","3gram","95.65206909179688"
"343","217","2015-07-01","2016-06-30","3gram","215.85975646972656"
"371","1449","2015-07-01","2016-06-30","3gram","136.12899780273438"
"53","326","2016-07-01","2019-06-30","acronym","7.070080280303955"
"334","214","2015-07-01","2016-06-30","term","26.626022338867188"
"147","1554","2016-09-12","2018-09-29","term","6.769511699676514"
"312","2332","2014-12-11","2015-02-15","shingle","90.29302978515625"
"167","277","2016-09-12","2018-06-30","3gram","62.574737548828125"
"114","778","2016-09-12","2019-06-30","term","8.94023323059082"
"74","285","2016-07-01","2019-06-30","acronym","7.070080280303955"
"156","242","2016-07-01","2017-06-30","shingle","9.782031059265137"
"177","311","2016-07-01","2017-06-30","acronym","7.070080280303955"
"13","186","2018-07-01","2019-06-30","acronym","7.070080280303955"
"13","186","2016-07-01","2017-06-30","acronym","7.070080280303955"
"59","929","2016-07-01","2019-06-30","acronym","7.070080280303955"
"149","937","2016-09-12","2017-06-30","acronym","6.197139739990234"
"175","290","2016-07-01","2018-06-30","shingle","12.82319450378418"
"240","362","2014-12-11","2015-06-30","acronym","7.070080280303955"
"196","253","2017-07-01","2018-06-30","3gram","71.63884735107422"
"225","372","2014-12-11","2015-06-30","acronym","7.070080280303955"
"17","233","2015-07-01","2019-06-30","acronym","7.070080280303955"
"236","355","2014-12-11","2015-06-30","term","15.463489532470703"
"70","355","2016-07-01","2019-06-30","acronym","7.070080280303955"
"168","260","2016-07-01","2018-06-30","term","7.119109153747559"
"173","386","2016-09-12","2017-06-30","term","4.209352016448975"
"44","328","2016-07-01","2019-06-30","acronym","7.070080280303955"
"284","277","2014-12-11","2016-06-30","shingle","18.877897262573242"
"69","964","2016-07-01","2019-06-30","acronym","7.070080280303955"
"7","282","2016-07-01","2019-06-30","acronym","7.070080280303955"
"141","1446","2016-07-01","2019-06-30","acronym","7.070080280303955"
"200","1132","2017-07-01","2018-06-30","term","13.878028869628906"
"302","359","2014-12-11","2015-06-30","acronym","7.070080280303955"
"137","375","2016-07-01","2019-06-30","acronym","7.070080280303955"
"10","1294","2018-07-01","2019-06-30","term","5.747537612915039"
"365","315","2015-07-01","2016-06-30","term","22.220947265625"
"127","347","2016-07-01","2019-06-30","acronym","7.070080280303955"
"93","292","2016-07-01","2019-06-30","acronym","7.070080280303955"
"147","1516","2018-09-30","2019-06-30","term","6.194604873657227"
"147","1516","2016-07-01","2016-09-11","term","6.194604873657227"
"312","346","2015-02-16","2015-06-30","term","43.81458282470703"
"27","214","2016-07-01","2019-06-30","acronym","7.070080280303955"
"102","359","2016-07-01","2019-06-30","acronym","7.070080280303955"
"225","372","2014-12-11","2015-06-30","term","15.120145797729492"
"351","208","2015-07-01","2016-06-30","acronym","7.070080280303955"
"191","315","2017-07-01","2018-06-30","3gram","26.506587982177734"
"297","356","2014-12-11","2015-06-30","shingle","29.71170425415039"
"197","261","2017-07-01","2018-06-30","shingle","17.176605224609375"
"85","1075","2018-07-01","2019-06-30","3gram","76.91806030273438"
"83","188","2018-07-01","2019-06-30","acronym","6.100679874420166"
"83","188","2016-07-01","2017-06-30","acronym","6.100679874420166"
"197","261","2017-07-01","2018-06-30","term","12.720808029174805"
"4","251","2016-07-01","2019-06-30","acronym","7.070080280303955"
"125","1636","2017-09-30","2018-03-30","shingle","8.91087818145752"
"123","306","2016-07-01","2019-06-30","acronym","7.070080280303955"
"146","377","2016-07-01","2019-06-30","acronym","7.070080280303955"
"312","2332","2014-12-11","2015-02-15","3gram","271.16278076171875"
"232","375","2014-12-11","2015-06-30","shingle","40.271175384521484"
"229","353","2014-12-11","2015-06-30","3gram","198.76319885253906"
"91","363","2016-07-01","2019-06-30","acronym","6.67476749420166"
"226","330","2015-04-24","2015-06-30","shingle","48.2674560546875"
"176","303","2016-07-01","2018-06-30","acronym","7.070080280303955"
"62","1059","2018-07-01","2019-06-30","shingle","5.821658611297607"
"9","381","2018-07-01","2019-06-30","acronym","7.522065162658691"
"47","349","2016-07-01","2019-06-30","acronym","7.070080280303955"
"166","267","2016-07-01","2016-09-11","term","7.166916847229004"
"316","339","2014-12-11","2015-06-30","term","16.989614486694336"
"172","276","2016-07-01","2016-09-11","term","7.602995872497559"
"15","187","2018-07-01","2019-06-30","acronym","7.070080280303955"
"15","187","2016-07-01","2017-06-30","acronym","7.070080280303955"
"159","631","2016-07-01","2017-06-30","term","7.651639938354492"
"120","287","2016-07-01","2019-06-30","acronym","6.716440200805664"
"54","213","2016-07-01","2019-06-30","acronym","7.070080280303955"
"167","277","2016-07-01","2018-06-30","term","12.915483474731445"
"61","261","2018-07-01","2019-06-30","acronym","7.070080280303955"
"175","290","2016-07-01","2018-06-30","term","10.312056541442871"
"36","1276","2018-07-01","2019-06-30","term","5.885181427001953"
