"ACT_NO","YEAR","ACT_NAME_ID"
"64","1948","4243"
"14","1932","4244"
"14","1932","4244"
"59","1940","4245"
"59","1940","4245"
"7","1983","264"
"6","1983","263"
"3","1994","2275"
"49","2006","2276"
"60","1975","851"
"107","1988","4246"
"67","1991","2278"
"108","1988","2281"
"104","1990","7889"
"32","2018","2282"
"106","1988","7890"
"28","2013","7891"
"70","1955","2277"
"165","1994","4247"
"76","1962","4248"
"5","1977","4249"
"115","1978","7892"
"106","1979","7893"
"5","1982","7894"
"66","1971","2279"
"10","1972","7895"
"10","1973","7896"
"116","1981","7897"
"92","1994","693"
"46","1996","7898"
"1","2003","2280"
"111","1973","7899"
"8","1974","7900"
"91","1959","7901"
"57","1948","7902"
"57","1948","7902"
"12","1949","7903"
"12","1949","7903"
"31","1959","7904"
"3","1966","7905"
"8","1973","7906"
"10","1992","7907"
"94","1972","7908"
"48","1969","727"
"68","1972","7909"
"124","1981","7910"
"126","1982","7911"
"170","1985","7912"
"147","1986","2284"
"98","1971","7913"
"36","1955","7914"
"47","1956","7915"
"34","1957","7916"
"43","1958","7917"
"51","1959","7918"
"109","1964","7919"
"8","1966","7920"
"156","1968","7921"
"13","1971","7922"
"158","1976","7923"
"3","1978","7924"
"43","1969","728"
"126","1981","7925"
"44","1969","1127"
"45","1969","730"
"130","1981","7926"
"125","1981","7927"
"125","1982","7928"
"128","1981","731"
"47","1969","732"
"93","1972","7929"
"46","1969","733"
"92","1972","7930"
"148","1986","734"
"129","1981","735"
"124","1982","7931"
"42","1969","736"
"127","1981","7932"
"127","1982","7933"
"147","2013","2286"
"154","1988","7934"
"3","1991","7935"
"9","1982","7936"
"170","1992","7937"
"115","2007","2288"
"18","2010","1490"
"169","2012","2289"
"168","2012","1743"
"21","2007","1377"
"99","1973","7938"
"20","2007","1376"
"166","2015","7939"
"90","2009","7940"
"142","2007","7941"
"119","2012","7942"
"7","2015","7943"
"57","2013","7944"
"129","1984","7945"
"70","1986","7946"
"105","1990","7947"
"195","1991","7948"
"71","1993","7949"
"5","2002","7950"
"18","2011","1637"
"140","2013","7951"
"42","1956","7952"
"41","1956","7953"
"87","1962","7954"
"88","1964","7955"
"4","1966","7956"
"145","1968","7957"
"55","1969","7958"
"116","1971","7959"
"45","2005","1228"
"44","2005","1227"
"52","1997","265"
"44","2016","2003"
"45","2016","7960"
"30","2004","7961"
"168","2007","7962"
"125","2002","1098"
"136","2008","1443"
"118","2015","2011"
"119","2015","2012"
