"ID","ACT_NO","YEAR","DATE","ACT_NAME_ID"
"C2015C00317","143","2011","2015-07-10","1622"
"C2015C00558","156","2008","2015-11-04","1544"
"C2004A02584","25","1982","1982-05-06","2454"
"C2004A00800","32","2001","2001-04-28","638"
"C2004A00957","20","2002","2002-04-04","639"
"C2018C00457","60","1992","2018-11-15","1822"
"C2012C00021","127","2009","2012-01-03","2455"
"C2011A00142","142","2011","2011-11-29","1890"
"C2012C00097","62","1992","2012-01-17","367"
"C2018C00452","61","1992","2018-11-14","366"
"C2014C00225","135","1977","2014-06-24","640"
"C2015C00410","55","2012","2015-08-14","1726"
"C2012A00056","56","2012","2012-06-21","1727"
"C2008C00194","76","1980","2008-07-01","126"
"C2004A02279","78","1980","1980-05-29","127"
"C2008C00193","75","1980","2008-07-01","128"
"C2004A02278","77","1980","1980-05-29","129"
"C2004C00459","30","1949",,"308"
"C2016C01088","34","1955","2016-11-15","750"
"C2011A00060","60","2011","2011-06-28","2456"
"C2017A00048","48","2017","2017-06-22","2457"
"C2018C00260","16","1905","2018-07-10","130"
"C2018A00060","60","2018","2018-06-29","2458"
"C2017A00110","110","2017","2017-09-18","2058"
"C2008C00320","28","1975","2008-07-16","131"
"C2007C00136","2","1979","2007-03-27","867"
"C2008A00020","20","2008","2008-05-26","2459"
"C2007C00137","96","1995","2007-03-27","1132"
"C2004A03648","55","1988","1988-06-15","2460"
"C2016C00325","161","1995","2016-04-20","868"
"C1973A00117","117","1973","1973-10-26","2461"
"C2006C00458","5","1959","2006-07-19","869"
"C1973A00018","18","1973","1973-04-11","2462"
"C2004A00139","81","1974","1974-10-18","2463"
"C2004A01876","77","1978","1978-06-22","2464"
"C2004A02407","29","1981","1981-04-14","2465"
"C2004A02940","76","1984","1984-06-25","2466"
"C2004A03233","194","1985","1985-12-16","2467"
"C2004A03591","182","1987","1987-12-26","2468"
"C2004A04601","46","1993","1993-10-22","2469"
"C2018C00242","118","1990","2018-06-21","1946"
"C2018C00498","27","1918","2018-12-13","468"
"C1925A00020","20","1925","1925-09-26","2470"
"C2004A04336","45","1992","1992-06-11","2471"
"C2004A04697","21","1994","1994-02-16","2472"
"C2004A04895","42","1995","1995-06-15","2473"
"C2004A00719","126","2000","2000-10-26","2474"
"C2004A01018","81","2002","2002-10-10","2475"
"C2016A00025","25","2016","2016-03-21","2476"
"C2007A00157","157","2007","2007-09-24","2477"
"C2004A01229","144","2003","2003-12-17","2478"
"C2018C00156","139","1991","2018-05-14","139"
"C2018C00180","11","1977","2018-05-23","140"
"C2018C00182","122","1981","2018-05-23","141"
"C2018C00486","12","1914","2018-12-11","137"
"C1915A00006","6","1915","1915-05-07","2479"
"C2006A00130","130","2006","2006-11-04","2480"
"C2004A01025","88","2002","2002-10-23","2481"
"C2005A00087","87","2005","2005-07-06","2482"
"C2004A00804","37","2001","2001-05-07","2483"
"C2006A00171","171","2006","2006-12-12","2484"
"C2006C00140","49","1998","2006-04-13","2485"
"C2004C01233","22","2001",,"2486"
"C2018A00033","33","2018","2018-05-22","2487"
"C2017A00035","35","2017","2017-05-19","2488"
"C2010A00101","101","2010","2010-07-06","2489"
"C2010A00028","28","2010","2010-03-25","2490"
"C2004A04855","182","1994","1994-12-19","2491"
"C2014C00290","13","2000","2014-06-25","138"
"C2016C00517","26","1989","2016-05-25","143"
"C2016C00524","8","1977","2016-05-26","144"
"C2004A03935","4","1990","1990-01-17","2492"
"C2004A04103","28","1991","1991-03-04","2493"
"C2004A04198","123","1991","1991-08-23","2494"
"C2011A00002","2","2011","2011-03-02","2495"
"C2012C00859","174","2011","2012-11-27","2496"
"C2015A00163","163","2015","2015-11-30","2497"
"C2018A00034","34","2018","2018-05-22","2498"
"C2018C00199","74","2013","2018-05-30","2499"
"C2008A00070","70","2008","2008-07-01","2500"
"C2015A00088","88","2015","2015-06-26","2501"
"C2004A01078","141","2002","2002-12-19","2502"
"C2012C00839","24","2012","2012-11-21","2503"
"C2015A00153","153","2015","2015-11-26","2504"
"C2018A00075","75","2018","2018-08-24","2505"
"C2016A00015","15","2016","2016-02-29","2506"
"C2015A00012","12","2015","2015-03-05","2507"
"C2012C00115","3","2010","2012-01-19","2508"
"C2011C00166","4","2010","2011-03-31","2509"
"C2012A00167","167","2012","2012-11-28","2510"
"C2010A00042","42","2010","2010-04-14","2511"
"C2013A00006","6","2013","2013-03-07","2512"
"C2005A00095","95","2005","2005-07-06","2513"
"C2006C00305","127","2004","2006-06-13","2514"
"C2010A00037","37","2010","2010-04-13","2515"
"C2015A00006","6","2015","2015-02-25","2516"
"C2006C00138","41","2003","2006-04-13","2517"
"C2014C00679","116","1964","2014-10-08","145"
"C2004A01189","102","2003","2003-10-15","2518"
"C2004A04741","65","1994","1994-05-30","2519"
"C2016C01083","173","1992","2016-11-15","146"
"C2018C00099","88","1993","2018-04-09","473"
"C2016C01090","95","1965","2016-11-15","888"
"C2004A02218","17","1980","1980-04-23","2520"
"C2004A02389","11","1981","1981-03-25","2521"
